"PMID"	"First author"	"CITY"	"GEOLONG"	"GEOLAT"	"COUNTRY"	"#SAMPLES"		"PMID"
10761656	"Jeuken JW"	"Nijmegen"	5.84	51.81	"The Netherlands"	14		10761656
10767715	"Schleger C"	"Mannheim"	8.48	49.5	"Germany"	33		10767715
10778896	"Welkoborsky HJ"	"Hannover"	9.73	52.37	"Germany"	20		10778896
10779021	"Perlman EJ"	"Baltimore"	-76.61	39.29	"United States"	16		10779021
10797261	"Loveday RL"	"Hull"	-0.34	53.74	"United Kingdom"	52		10797261
10801040	"Okafuji M"	"Yamaguchi-shi"	131.47	34.19	"Japan"	11		10801040
10805936	"Hashimoto Y"	"Yamaguchi-shi"	131.47	34.19	"Japan"	18		10805936
10811980	"Gebhart E"	"Erlangen"	11.01	49.59	"Germany"	38		10811980
10812171	"Bergamo NA"	"Sao Paulo"	-46.64	-23.55	"Brazil"	19		10812171
10822134	"Schmidt H"	"Halle"	8.36	52.06	"Germany"	15		10822134
10824999	"Dohna M"	"Heidelberg"	8.69	49.41	"Germany"	50		10824999
10834532	"Wilkens L"	"Hannover"	9.73	52.37	"Germany"	9		10834532
10835513	"Mullaney BP"	"San Francisco"	-122.42	37.77	"United States"	8		10835513
10861509	"Richard F"	"Berlin"	13.41	52.52	"Germany"	105		10861509
10862035	"Taruscio D"	"Rome"	12.51	41.89	"Italy"	6		10862035
10862045	"Mairal A"	"Paris"	2.35	48.85	"France"	20		10862045
10867149	"Larramendy ML"	"Helsinki"	24.94	60.17	"Finland"	5		10867149
10874879	"So CC"	"Hong Kong"	114.16	22.29	"China"	1		10874879
10879734	"Jones C"	"London"	-0.13	51.51	"United Kingdom"	10		10879734
10879743	"Alers JC"	"Rotterdam"	4.48	51.92	"The Netherlands"	61		10879743
10880395	"Zettl A"	"Wuerzburg"	9.95	49.79	"Germany"	39		10880395
10882752	"Frühwald MC"	"Columbus"	-97.37	41.43	"United States"	3		10882752
10883908	"Yin XL"	"Hong Kong"	114.16	22.29	"China"	10		10883908
10885653	"Brat DJ"	"Atlanta"	-84.39	33.75	"United States"	7		10885653
10885658	"Petersen I"	"Berlin"	13.41	52.52	"Germany"	45		10885658
10891531	"Mayama T"	"Sendai"	140.87	38.26	"Japan"	10		10891531
10895067	"Suehiro Y"	"Tokyo"	139.69	35.69	"Japan"	12		10895067
10908150	"Mostert M"	"Rotterdam"	4.48	51.92	"The Netherlands"	6		10908150
10913676	"Breen CJ"	"Dublin"	-6.25	53.33	"Ireland"	24		10913676
10914937	"Koski T"	"Tampere"	23.79	61.5	"Finland"	32		10914937
10918397	"Suehiro Y"	"Yamaguchi-shi"	131.47	34.19	"Japan"	51		10918397
10918398	"Stumpf E"	"Helsinki"	24.94	60.17	"Finland"	25		10918398
10919666	"El-Rifai W"	"Helsinki"	24.94	60.17	"Finland"	95		10919666
10929226	"Bockmühl U"	"Berlin"	13.41	52.52	"Germany"	100		10929226
10930378	"Chen YJ"	"Taipei"	121.53	25.05	"Taiwan"	62		10930378
10934139	"Dannenberg H"	"Rotterdam"	4.48	51.92	"The Netherlands"	29		10934139
10934159	"Weber RG"	"Heidelberg"	8.69	49.41	"Germany"	34		10934159
10934160	"Kytölä S"	"Stockholm"	18.06	59.33	"Sweden"	29		10934160
10935481	"Pandita A"	"Toronto"	-79.42	43.7	"Canada"	21		10935481
10940769	"Reardon DA"	"Memphis"	-90.05	35.15	"United States"	1		10940769
10949927	"Marchio A"	"Paris"	2.35	48.85	"France"	44		10949927
10951399	"Wilkens L"	"Hannover"	9.73	52.37	"Germany"	11		10951399
10956554	"Gogusev J"	"Paris"	2.35	48.85	"France"	3		10956554
10958933	"Levy B"	"New York City"	-74.01	40.71	"United States"	20		10958933
10958935	"Masramon L"	"Barcelona"	2.16	41.39	"Spain"	2		10958935
10958937	"Patael-Karasik Y"	"Rishon LeZiyyon"	34.79	31.97	"Israel"	18		10958937
10958944	"Shlomit R"	"Rishon LeZiyyon"	34.79	31.97	"Israel"	24		10958944
